dataset,error,uncertainty
solar_flare,0.008066399954259396,0.00125627382658422
solar_flare,0.13540633022785187,0.012977086007595062
solar_flare,0.09756143391132355,0.001179845305159688
solar_flare,0.09663858264684677,0.05863315984606743
solar_flare,0.04281602427363396,0.0011869576992467046
solar_flare,0.19364625215530396,0.12684106826782227
solar_flare,0.20397990942001343,0.005396591499447823
solar_flare,0.018177902325987816,0.0013834793353453279
solar_flare,0.040396761149168015,0.1183929592370987
solar_flare,0.45127707719802856,0.03978085517883301
solar_flare,0.6450847387313843,0.19720995426177979
solar_flare,0.18788771331310272,0.11472948640584946
solar_flare,0.011550439521670341,0.04015464335680008
solar_flare,0.20383897423744202,0.1374502032995224
solar_flare,0.03459044545888901,0.0012491291854530573
solar_flare,0.061538394540548325,0.0008869018638506532
solar_flare,0.08499963581562042,0.014869887381792068
solar_flare,0.515627384185791,0.15275703370571136
solar_flare,0.061839476227760315,0.008158998563885689
solar_flare,2.2987990379333496,0.0048722801730036736
solar_flare,0.15018227696418762,0.007440111134201288
solar_flare,0.9808036684989929,0.35410138964653015
solar_flare,0.07806384563446045,0.14615976810455322
solar_flare,0.0903543084859848,0.002006927039474249
solar_flare,0.01964852772653103,0.1459396779537201
solar_flare,0.6244051456451416,0.008038981817662716
solar_flare,0.015657439827919006,0.00856035202741623
solar_flare,0.06874039769172668,0.001969559583812952
solar_flare,0.09756087511777878,0.0009338628151454031
solar_flare,0.09819501638412476,0.1407928764820099
solar_flare,0.008058593608438969,0.0018828354077413678
solar_flare,0.05231828615069389,0.039849210530519485
solar_flare,0.30498796701431274,0.04336705431342125
solar_flare,0.029342608526349068,0.03459321707487106
solar_flare,0.9024391174316406,0.0009338628151454031
solar_flare,0.1363036036491394,0.0033517158590257168
solar_flare,0.09021589905023575,0.0020094565115869045
solar_flare,0.9023625254631042,0.003783096559345722
solar_flare,0.022005725651979446,0.08029277622699738
solar_flare,2.5159356594085693,0.10548955947160721
solar_flare,2.6338307857513428,0.6646236181259155
solar_flare,1.2352938652038574,0.0009610274573788047
solar_flare,0.008041894994676113,0.003009460400789976
solar_flare,0.01396159641444683,0.028228938579559326
solar_flare,0.015657439827919006,0.00856035202741623
solar_flare,0.0803234651684761,0.028190020471811295
solar_flare,0.007849709130823612,0.03797822818160057
solar_flare,0.18788768351078033,0.11472948640584946
solar_flare,0.09756087511777878,0.0009338628151454031
solar_flare,0.0036899724509567022,0.07654085755348206
solar_flare,0.4652828276157379,0.010252873413264751
solar_flare,0.07114147394895554,0.0020694027189165354
solar_flare,0.06153707578778267,0.0017083610873669386
solar_flare,0.06410883367061615,0.0282073263078928
solar_flare,0.4570122957229614,0.002730193780735135
solar_flare,0.6154170036315918,0.1666005551815033
solar_flare,0.06153131648898125,0.003728305920958519
solar_flare,0.06925012916326523,0.04882548004388809
solar_flare,0.022005727514624596,0.08029277622699738
solar_flare,0.9072434902191162,0.0017370349960401654
solar_flare,0.07354254275560379,0.0021646455861628056
solar_flare,0.4524571895599365,0.04208400472998619
solar_flare,0.0080642094835639,0.0009428365156054497
solar_flare,0.01852063089609146,0.06953717023134232
solar_flare,0.8167402744293213,0.15975221991539001
solar_flare,3.010923385620117,0.15535588562488556
solar_flare,0.9893197417259216,0.11583021283149719
solar_flare,0.008058593608438969,0.0018828354077413678
solar_flare,4.94079065322876,0.0010147843277081847
solar_flare,0.23524022102355957,0.0021217544563114643
solar_flare,2.9189035892486572,0.0017564516747370362
solar_flare,0.15824997425079346,0.029537104070186615
solar_flare,0.06753987073898315,0.0019176894566044211
solar_flare,0.05223926901817322,0.07032967358827591
solar_flare,0.027085481211543083,0.033236827701330185
solar_flare,0.06153131648898125,0.003728305920958519
solar_flare,0.04279671236872673,0.0011762134963646531
solar_flare,0.4657556414604187,0.0022300202399492264
solar_flare,0.02641594223678112,0.0013088674750179052
solar_flare,0.05231828615069389,0.039849210530519485
solar_flare,0.5226242542266846,0.17627336084842682
solar_flare,0.09756087511777878,0.0009338628151454031
solar_flare,0.45885276794433594,0.14680340886116028
solar_flare,0.16597270965576172,0.12886494398117065
solar_flare,4.544672966003418,0.11040201038122177
solar_flare,0.8732861280441284,0.9844567179679871
solar_flare,0.03286274895071983,0.04898699373006821
solar_flare,0.4353730380535126,0.029166966676712036
solar_flare,0.6683439016342163,0.0015613100258633494
solar_flare,0.457627534866333,0.012088801711797714
solar_flare,1.2352938652038574,0.0009610274573788047
solar_flare,0.04279671236872673,0.0011762134963646531
solar_flare,0.0652216449379921,0.028183575719594955
solar_flare,0.0080642094835639,0.0009428365156054497
solar_flare,0.05101607367396355,0.0011210421798750758
solar_flare,0.01945415511727333,0.010448077693581581
solar_flare,0.09756143391132355,0.001179845305159688
solar_flare,0.10775844752788544,0.029377838596701622
solar_flare,0.022005727514624596,0.08029276877641678
solar_flare,0.2040777951478958,0.0013883295468986034
solar_flare,0.10694658011198044,0.08488766103982925
solar_flare,0.06153436750173569,0.0025687727611511946
solar_flare,1.2371509075164795,0.010424548760056496
solar_flare,0.4418220818042755,0.08927322924137115
solar_flare,0.8924106359481812,0.021099574863910675
solar_flare,2.340808868408203,0.020293232053518295
solar_flare,1.1585359573364258,0.012415691278874874
solar_flare,0.7647022008895874,0.0011839641956612468
solar_flare,0.1995278000831604,0.0011114053195342422
solar_flare,1.9228416681289673,0.0023493487387895584
solar_flare,2.843466281890869,0.025214562192559242
solar_flare,0.07653676718473434,0.0016151551390066743
solar_flare,1.7563835382461548,0.1926816999912262
solar_flare,0.0652216374874115,0.028183575719594955
solar_flare,0.008041894994676113,0.003009460400789976
solar_flare,0.00784993078559637,0.011582093313336372
solar_flare,0.05100298300385475,0.0010984684340655804
solar_flare,0.008066399954259396,0.00125627382658422
solar_flare,0.09756143391132355,0.001179845305159688
solar_flare,0.9021382927894592,0.09785527735948563
solar_flare,0.1776714324951172,0.02819851040840149
